EOMONTH,Customer Name,Product Level 1,Product Level 2,Product Level 3,Product Level 4,      Sum of Net Amount      ,Comment
31-08-26,ARCHDIOCESE OF NRB ST ARNOLD JANSEN SCH,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"6,828",
31-08-26,ASAI SUPERMARKETS LIMITED,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"33,190",
31-08-26,ATLANTIS LIFE SCIENCE LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"6,618",
31-08-26,AUTO INDUSTRIES LTD,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"42,336",
31-08-26,AUTO INDUSTRIES LTD,OTHER,PLATE CHARGE & ORIGINATION,(blank),,"11,586",
31-08-26,AUTO SPRINGS EAST AFRICA,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"20,939",
31-08-26,BAHATI VENTURES LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"90,813",
31-08-26,BAHATI VENTURES LTD,ETR,ETR PRE - PRINTED,ETR THERMAL RECEIPT ROLLS PRE-PRINTED 79*80MM,,"557,174",
31-08-26,BAHATI VENTURES LTD,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - 43*58MM,,"24,974",
31-08-26,BAHATI VENTURES LTD,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - OTHER,,"118,246",
31-08-26,BAHATI VENTURES LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"45,986",
31-08-26,BAHATI VENTURES LTD,PACKAGING,CAKE BASE,CAKE BASE 10*10,,"62,907",
31-08-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,(blank),(blank),,"100,000",
31-08-26,BLOW PLAST LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"65,574",
31-08-26,BOHEMIAN FLOWERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A2 NEWSPRINT,,"123,088",
31-08-26,BRAZAFRIC INDUSTRIES LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5 X 11 - 5PART,,"66,868",
31-08-26,BRAZAFRIC INDUSTRIES LIMITED,LABEL,KEBS,PRINTED KEBS LABEL - 19*13MM - SMALL,,"1,018",
31-08-26,BRAZAFRIC INDUSTRIES LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"1,938",
31-08-26,C&R FOOD INDUSTRIES LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"32,775",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER ART PAPER,,"28,615",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER B,,"61,911",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER B50GSM,,"87,029",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER B60GSM,,"24,595",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER CB 250 GSM,,"6,054",
31-08-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER FBB 250GSM,,"67,400",
31-08-26,CAPRIN STATIONERS LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SPIRAL NOTE BOOK TOP BINDING A7,,"18,538",
31-08-26,CAPRIN STATIONERS LTD,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"8,207",
31-08-26,CARE PRIME GENERAL MERCHANTS,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"3,078,646",
31-08-26,Carmax Communication Company,EXERCISE BOOK,(blank),(blank),,"39,759",
31-08-26,CHANDARANA SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"96,143",
31-08-26,CHANDARIA INDUSTRIES LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"138,880",
31-08-26,CHANIA SCHOOL DEPOT LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"18,922",
31-08-26,CHARIKEN OFFICE XPRESS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE LOOSE LEAF PAD BANK 50 SHEETS,,"9,577",
31-08-26,CHIRAG AFRICA LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"12,435",
31-08-26,CHROME PARTNERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B,,"28,966",
31-08-26,CLASSICS IRONMONGERS,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 8 -2PART,,"28,265",
31-08-26,CLEANSELF SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"161,520",
31-08-26,CLEANSELF SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"67,300",
31-08-26,COASTAL EMPORIUM BOOKSHOP,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"46,517",
31-08-26,COMPASS PRESS LTD,TRADING,PAPER REELS,PAPER REELS,,"130,993",
31-08-26,COMPASS PRESS LTD,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"156,085",
31-08-26,COMPASS PRESS LTD,TRADING,PRINTING PAPER,PRINTING PAPER B60GSM,,"122,976",
31-08-26,COMPASS PRESS LTD,TRADING,PRINTING PAPER,PRINTING PAPER B70GSM,,"279,060",
31-08-26,COSMOS LIMITED,TRADING,MANILLA,MANILLA  A4 25'S,,"1,708",
31-08-26,COUNTRY DELIGHT DAIRY LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"26,465",
31-08-26,CROWN POWER CREATIVE LAB LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"23,065",
31-08-26,DAMARIS SYOWAI MUTUKU,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"137,073",
31-08-26,DAMARIS SYOWAI MUTUKU,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT - COLOURED,,"82,097",
31-08-26,DAMARIS SYOWAI MUTUKU,TRADING,PRINTING PAPER,PRINTING PAPER B50GSM,,"70,369",
31-08-26,DECEMBER WASTE SERVICE,OTHER,WHITE WASTE PAPER,(blank),,"28,379",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"40,702",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"41,865",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5 X 11- 2PART,,"33,919",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"38,764",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B60GSM,,"50,393",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B80GSM,,"44,191",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER CB 250 GSM,,"12,501",
31-08-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 220GSM 51*76CM,,"19,721",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"23,288",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"7,763",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"16,105",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"4,026",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"22,709",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"7,570",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"22,709",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SQ,,"3,785",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SL,,"12,223",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SL,,"22,999",
31-08-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SQ,,"7,666",
31-08-26,DHONI EMPORIUM,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 2Q BANK,,"8,203",
31-08-26,DHONI EMPORIUM,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 3Q BANK,,"8,412",
31-08-26,DISCOUNT OFFICE SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA CASH SALE 12UPS NP,,"17,444",
31-08-26,DISCOUNT OFFICE SUPPLIES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA CASH SALE 6UPS NP,,"10,466",
31-08-26,DOLPHIN STATIONERS,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*60MM,,"10,466",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"426,724",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"70,125",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"264,569",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A6 BANK (NO.4),,"9,103",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,OTHER,(blank),(blank),,"166,667",
31-08-26,DOUBLE WHITELINE PLUS LTD 2020,TRADING,MG COVER,MG COVER - GREEN,,"41,724",
31-08-26,EAST WEST AFRICA LTD,PACKAGING,PLAIN CARTON,3 PLY PLAIN CARTON,,"62,041",
31-08-26,EAST WEST AFRICA LTD,PACKAGING,PRINTED CARTON,3 PLY PRE-PRINTED CARTON,,"203,303",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"24,505",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A7 BANK (NO.0).,,"2,019",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SHORT HAND A5 TOP BINDING,,"7,806",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SPIRAL NOTE BOOK TOP BINDING A6,,"5,653",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SPIRAL NOTE BOOK TOP BINDING A7,,"4,038",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA COUNTER BOOK 2QNP,,"5,446",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA COUNTER BOOK 3QNP,,"7,430",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA COUNTER BOOK 4QNP,,"9,414",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA COUNTER BOOK 6QNP,,"5,071",
31-08-26,EASTLEIGH MATTRESSES,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA HARD COVER A6 NP (NO.4),,"5,383",
31-08-26,ECO PRINT,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5 X 11- 2PART,,"21,059",
31-08-26,ECO PRINT,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 12  - 2 PART,,"19,054",
31-08-26,EKTTA  STATIONERS LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A6 BANK (NO.4),,0,
31-08-26,ELDOMATT SUPERMARKET,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"111,034",
31-08-26,ELDOMATT SUPERMARKET,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"25,007",
31-08-26,ELDOMATT SUPERMARKET,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- SWARA,SWARA RULLED PAPER A4 NP,,"35,531",
31-08-26,ELDOMATT SUPERMARKET,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 160GSM 51*76CM,,"55,517",
31-08-26,ELPHSONS ENTERPRISES LIMITED,EXERCISE BOOK,(blank),(blank),,"39,759",
31-08-26,ERETO BOOKSHOP LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"17,104",
31-08-26,ERETO BOOKSHOP LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"13,194",
31-08-26,ERETO BOOKSHOP LIMITED,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 57*40MM,,"6,255",
31-08-26,ERETO BOOKSHOP LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 1Q BANK,,"5,911",
31-08-26,ERETO BOOKSHOP LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 3Q BANK,,"5,278",
31-08-26,ERETO BOOKSHOP LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"5,004",
31-08-26,ERETO BOOKSHOP LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SHORT HAND A5 TOP BINDING,,"1,439",
31-08-26,ERETO BOOKSHOP LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL -  25*51MM,,"6,646",
31-08-26,ESGA ENTERPRISES LIMITED,EXERCISE BOOK,(blank),(blank),,"119,278",
31-08-26,FARMERS CHOICE LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"9,137",
31-08-26,FARMERS CHOICE LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"371,467",
31-08-26,FARMERS CHOICE LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 14.5 X 11-1 PART LINE FLOW,,"8,193",
31-08-26,FARMERS CHOICE LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"116,480",
31-08-26,FINSBURY TRADING LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"57,931",
31-08-26,FINSBURY TRADING LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,CELLO TAPE 2,,"5,388",
31-08-26,FULLCHAND KESHAVJI SHAH,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"8,979",
31-08-26,GELX INDUSTRIES LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"47,600",
31-08-26,GEOFFREY MUHORO,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 57*40MM,,"6,784",
31-08-26,GEOFFREY MUHORO,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"33,919",
31-08-26,GERRALD MMBWII KITHINJI,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"8,063",
31-08-26,GERRALD MMBWII KITHINJI,TRADING,PRINTING PAPER,PRINTING PAPER B80GSM,,"3,421",
31-08-26,GIANT LTD,ETR,ETR PRE - PRINTED,ETR PRINTED REEL,,"80,719",
31-08-26,Gideon,LABEL,LABEL - PRE PRINTED,(blank),,"250,000",
31-08-26,GILANI'S DISTRIBUTORS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"821,043",
31-08-26,GILANI'S DISTRIBUTORS LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 8 -2PART,,"863,897",
31-08-26,GILANI'S SUPERMARKET LTD,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"87,961",
31-08-26,GOSHRANI PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"11,644",
31-08-26,GURDIT SINGH SHOP,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"54,731",
31-08-26,GURDIT SINGH SHOP,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"8,552",
31-08-26,GURDIT SINGH SHOP,TRADING,PRINTING PAPER,PRINTING PAPER B50GSM,,"24,434",
31-08-26,HAKIMI TRADERS 2023,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"3,004",
31-08-26,HAKIMI TRADERS 2023,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"3,866",
31-08-26,HAKIMI TRADERS 2023,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*60MM,,"5,896",
31-08-26,HAKIMI TRADERS 2023,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"7,511",
31-08-26,HAKIMI TRADERS 2023,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 2Q BANK,,"11,722",
31-08-26,HAKIMI TRADERS 2023,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"10,234",
31-08-26,HAKIMI TRADERS 2023,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A6 BANK (NO.4),,"9,769",
31-08-26,HANINY STATIONERS &BOOKSHOP,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB NP SL,,"14,340",
31-08-26,HANINY STATIONERS &BOOKSHOP,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB NP SQ,,"7,170",
31-08-26,HARIA STATIONARY LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"44,404",
31-08-26,HC PROCESSING AND CONTRACTING LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B,,"158,754",
31-08-26,hellen,(blank),(blank),(blank),,"48,400",
31-08-26,HEMA STORES,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"135,852",
31-08-26,HEYKAL PACKERS & DISTRIBUTORS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"108,306",
31-08-26,HIGHCHEM  - EAST AFRICA LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"-111,730",
31-08-26,HIGHLAND PRINTING PRESS,TRADING,PRINTING PAPER,STRAWBOARD,,"8,690",
31-08-26,HIGHLANDS DRINKS LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"9,649",
31-08-26,HIGHRANCE STATIONERS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A6 BANK (NO.4),,"9,497",
31-08-26,HIGHRANCE STATIONERS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A7 BANK (NO.0).,,"10,420",
31-08-26,HIGHRIDGE PHARMACY LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"21,442",
31-08-26,HILLS CONVERTERS LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SHORT HAND A5 TOP BINDING,,"5,645",
31-08-26,HIMANI TRADERS & DISTRIBUTERS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE GRANT IN AID,,"10,873",
31-08-26,HUSSEINA ENTERPRISES,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"15,699",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"115,862",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 64 PGS CB BANK SL,,"36,690",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 80 PGS CB BANK SL,,"39,586",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"114,414",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SQ,,"38,138",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 32 PGS CB BANK SL,,0,
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SL,,0,
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SQ,,0,
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 64 PGS CB BANK SL,,0,
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 80 PGS CB BANK SL,,"36,207",
31-08-26,HYDRO TRADING 2023 LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SL,,"38,621",
31-08-26,JADEJA BOOK CENTER,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"130,792",
31-08-26,JADEJA BOOK CENTER,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"52,317",
31-08-26,JADEJA BOOK CENTER,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"105,894",
31-08-26,JADEJA BOOK CENTER,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"26,474",
31-08-26,JADEJA BOOK CENTER,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"25,843",
